stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2334737,32,,Arts Center Marta Station,,33.789285,-84.386904,,,0,,America/New_York,,,0
2334738,60,,Buford Hwy & Beaver Ruin Rd,,33.944569,-84.204422,,,0,,America/New_York,,,0
2334739,7,,Beaver Ruin & Price Pl,,33.94104,-84.204013,,,0,,America/New_York,,,0
2334740,13,,Beaver Ruin Rd & Steve Reynolds Blvd,,33.931214,-84.147359,,,0,,America/New_York,,,0
2334741,29,,Breckinridge Blvd/old Norcross Rd,,33.958446,-84.110161,,,0,,America/New_York,,,0
2334742,61,,Brook Hollow Pkwy & N Norcross,,33.920715,-84.214806,,,0,,America/New_York,,,0
2334743,62,,Brook Hollow Pkwy & N Norcross,,33.920547,-84.214868,,,0,,America/New_York,,,0
2334744,181,,Buford Hwy & Beaver Ruin Rd,,33.94394,-84.203065,,,0,,America/New_York,,,0
2334745,520,,Central Ave @ Mitchell St,,33.749651,-84.390792,,,0,,America/New_York,,,0
2334746,20,,Civic Center MARTA Station,,33.766509,-84.38749,,,0,,America/New_York,,,0
2334747,9,,Dawson/live Oak &jimmy Carter Blvd,,33.907192,-84.206569,,,0,,America/New_York,,,0
2334748,64,,Dawson/live Oak &jimmy Carter Blvd,,33.907516,-84.204515,,,0,,America/New_York,,,0
2334749,6,,Doraville Marta Station,,33.902675,-84.279965,,,0,,America/New_York,,,0
2334750,17,,Gwinnett Justice & Admin Center,,33.950637,-83.995067,,,0,,America/New_York,,,0
2334751,67,,Gwinnett Justice & Admin Center,,33.952145245316,-83.9923425615793,,,0,,America/New_York,,,0
2334752,3,,Gwinnett Transit Center,,33.963169,-84.131209,,,0,,America/New_York,,,0
2334753,15,,Holcomb Bridge Rd & Peachtree Corners Ci,,33.958759,-84.246874,,,0,,America/New_York,,,0
2334754,19,,SR20 Park & Ride,,34.085081,-83.995197,1115,,0,,America/New_York,,,0
2334755,27,,Indian Trail Park & Ride,,33.929735,-84.175444,1114,,0,,America/New_York,,,0
2334756,33,,John Portman Blvd @ Courtland St,,33.760706,-84.38579,,,0,,America/New_York,,,0
2334757,21,,John Portman Blvd @ Peachtree Center Ave,,33.760898,-84.385603,,,0,,America/New_York,,,0
2334758,30,,Lawrenceville Hwy & Indian Trail-Lilburn,,33.894851,-84.140301,,,0,,America/New_York,,,0
2334759,65,,Lawrenceville Hwy & Indian Trail-Lilburn,,33.894945,-84.140578,,,0,,America/New_York,,,0
2334760,11,,Live Oak Pkwy & Thompson Pkwy,,33.906019,-84.202669,,,0,,America/New_York,,,0
2334761,532,,Mitchell St @ Washington St,,33.74891,-84.389515,,,0,,America/New_York,,,0
2334762,535,,"Martin Luther King, Jr. Federal Building",,33.752241,-84.39396,,,0,,America/New_York,,,0
2334763,533,,"Martin Luther King, Jr. @ Peachtree St",,33.751922,-84.391716,,,0,,America/New_York,,,0
2334764,58,,Peachtree Pkwy @ The Forum,,33.976678,-84.218487,,,0,,America/New_York,,,0
2334765,26,,Peachtree Center Ave @ Andrew Young Intl,,33.759596,-84.385991,,,0,,America/New_York,,,0
2334766,66,,Holcomb Bridge Rd & Peachtree Corners Ci,,33.958374,-84.247765,,,0,,America/New_York,,,0
2334767,1051,,Shackleford Road & Pine Road (Building on right),,33.947603,-84.131965,,,0,,America/New_York,,,0
2334768,69,,Beaver Ruin Rd & Steve Reynolds Blvd,,33.92999,-84.1471,,,0,,America/New_York,,,0
2334769,16,,Sugarloaf Pkwy & Five Forks Trickum Rd,,33.922554,-84.016913,,,0,,America/New_York,,,0
2334770,2,,Sugarloaf Mills Park & Ride,,33.983596216816,-84.084545490996,1115,,0,2382245,,,,0
2334771,71,,1535 Atkinson Road,,33.967461,-84.071443,,,0,,America/New_York,,,0
2334772,72,,Atkinson & Glynmoore Dr,,33.966992,-84.07106,,,0,,America/New_York,,,0
2334773,73,,Atkinson Rd & Rite Aid,,33.976279,-84.078886,,,0,,America/New_York,,,0
2334774,74,,Atkinson & Shell Gas Station,,33.976316,-84.07916,,,0,,America/New_York,,,0
2334775,76,,Atkinson Rd & Sugarloaf Pkwy,,33.966965,-84.069458,,,0,,America/New_York,,,0
2334776,77,,Atkinson Rd & Westfield Dr,,33.971512,-84.07516,,,0,,America/New_York,,,0
2334777,78,,Atkinson & Willow Pointe Dr,,33.967641,-84.071988,,,0,,America/New_York,,,0
2334778,79,,Old Norcross Rd & Averitt Ob,,33.953461,-84.02377,,,0,,America/New_York,,,0
2334779,80,,Baker St & Peachtree St (suntrust),,33.762314,-84.387348,,,0,,America/New_York,,,0
2334780,83,,Beaver Ruin Rd & East Hill Way OB,,33.938002,-84.18819,,,0,,America/New_York,,,0
2334781,84,,Beaver Ruin Rd At Bolton Cir IB,,33.934073,-84.171288,,,0,,America/New_York,,,0
2334782,85,,Beaver Ruin Rd & Buchannan Hs IB,,33.942777,-84.201469,,,0,,America/New_York,,,0
2334783,86,,Beaver Ruin Rd & Buchannan Hs OB,,33.942983,-84.201331,,,0,,America/New_York,,,0
2334784,87,,Beaver Ruin Rd & St. Patricks Church OB,,33.935094,-84.182596,,,0,,America/New_York,,,0
2334785,88,,Beaver Ruin Rd At Family Denstistry IB,,33.941996,-84.198799,,,0,,America/New_York,,,0
2334786,89,,Beaver Ruin Rd & Dept Of Labor IB,,33.936694,-84.186198,,,0,,America/New_York,,,0
2334787,90,,Beaver Ruin Rd & Rockborough Tr (dmv),,33.936633,-84.185361,,,0,,America/New_York,,,0
2334788,91,,Beaver Ruin Rd At Huddersfield Way IB,,33.939451,-84.193154,,,0,,America/New_York,,,0
2334789,92,,Beaver Ruin Rd & Indian Trail Rd OB,,33.933096,-84.179327,,,0,,America/New_York,,,0
2334790,94,,Beaver Ruin Rd At Lowes IB,,33.932784,-84.175557,,,0,,America/New_York,,,0
2334791,95,,Beaver Ruin Rd At Newbury Rd IB,,33.939041,-84.191337,,,0,,America/New_York,,,0
2334792,96,,Beaver Ruin Rd At Pinnacle Way IB,,33.934758,-84.183176,,,0,,America/New_York,,,0
2334793,97,,Beaver Ruin Rd At Plaza IB,,33.933142,-84.180305,,,0,,America/New_York,,,0
2334794,100,,Beaver Ruin Rd & Beaver Ridge Elementary,,33.933625,-84.173503,,,0,,America/New_York,,,0
2334795,101,,Beaver Ruin Rd & Sourwood Rd OB,,33.935664,-84.169088,,,0,,America/New_York,,,0
2334796,102,,Beaver Ruin Rd & Twin Creek Dr,,33.940049,-84.194581,,,0,,America/New_York,,,0
2334797,103,,Beaver Ruin Rd & United Church OB,,33.941503,-84.19757,,,0,,America/New_York,,,0
2334798,104,,Beaver Ruin Rd & Wexford Dr,,33.937859,-84.18851,,,0,,America/New_York,,,0
2334799,105,,N Berkeley Lake Rd & Cross Road Dist,,33.969913,-84.154171,,,0,,America/New_York,,,0
2334800,106,,N Berkeley Lake Rd & The Estates Apts,,33.9713,-84.155256,,,0,,America/New_York,,,0
2334801,107,,N Berkeley Lake Rd & Marquis @ Nberkeley,,33.968887,-84.151212,,,0,,America/New_York,,,0
2334802,108,,N Berkeley Lake Rd & Wal-Mart OB,,33.969059,-84.149375,,,0,,America/New_York,,,0
2334803,109,,Pleasant Hill Rd & L'ville Hwy (berkmar),,33.907193,-84.111582,,,0,,America/New_York,,,0
